titles,authors,informs,clip_links
"[세트]100인의 배우, 우리 문학을 읽다",나혜석 외 99명,"""한국에서 정가 7만원 오디오북이 1만5000개 넘게 팔렸다고? 농담인줄 알았는데, 들어보니 할말이 없다. 이건 진짜 고급 오디오북... 사람을 이렇게 흔들어놔도 되는 건가, 커뮤니케이션북스?"" 103명의 명품 배우들이 들려주는 한국 단편 걸작 100편. 최민식 문소리 정진영 예지원. 이름만으로도 설레는 명품 배우 103명이 낭독한 한국 단편 걸작 100편을 담았습니다. 전체 낭독시간 104시간 19분. 활자에 생명을 불어넣는 배우들의 숨결로 새로운 독서 경험, 문학 세계가 펼쳐집니다. 오디오북으로 체험하는 한국 근현대사 낭독 작품은 한국 근현대 중단편소설 중에서 문학사적 가치와 작품성, 낭독성을 고려해 작가별로 1편씩 100편을 뽑았다. 전반기는 1910년대부터 한국전쟁 전까지 발표된 50편을, 후반기는 한국전쟁부터 1987년 체제 이전 시기에서 50편을 추렸다. 특히 전반기 작품에는 쉽게 접하기 힘든 카프 진영, 월북 작가의 소설도 10편을 포함했다. 일제강점기부터 제5공화국까지 발표연도순으로 듣노라면 굴곡 있는 한국 근현대사가 파노라마처럼 펼쳐진다. 오디오북으로 체험하는 한국 근현대사다. 연극배우뿐 아니라 TV, 스크린, 뮤지컬 스타도 동참 낭독 배우들은 연극계 원로부터 샛별까지 망라했다. 평생 무대와 함께한 전무송 박정자 이호재 손숙 배우 등이 앞장섰고, 최민식 안재욱 송일국 양미경 문소리 예지원 등 스크린과 TV의 스타들이 뒤따랐다. 충무로를 오가며 활동하는 강신일 권해효 오지혜 고수희 배우, 무대 지킴이 남명렬 장용철 손봉숙 정수영 배우도 빠질 수 없었다. 대학로의 미래 하성광 배해선 지현준 김지성 신안진 배우와 뮤지컬 스타인 최정원 양준모 김호영 윤정섭 배우도 동참했다. 수익금 중 낭독자 인세는 참여 배우 명의로 한국연극인복지재단에 기부되어 연극인들의 복지를 위해 사용된다. 소설의 활자에 생명을 불어넣은 배우들 100편의 소설은 배우들의 목소리를 만나 더욱 생생하고 풍성해졌다. 배우들은 작품 성격에 목소리 톤을 맞추고, 작중 인물의 대사를 무대에서 연기하듯이 낭독했다. ＜백치 아다다＞를 읽은 강부자 배우는 ‘아다다’의 죽음 대목에서 감정이 격해져 울먹이기도 했다. 이문구의 ＜우리 동네 김씨＞는 최주봉 배우의 능청스런 충청도 사투리로, 한승원의 ＜목선＞은 황영희 배우의 감칠맛 나는 남도 사투리로 작품 속으로 더 빨려들게 한다. 박정자 배우는 다른 배우의 낭독을 듣고 “활자로 된 인물이 살아나는 느낌”이라고 말했다. 출퇴근길의 든든한 동행자 미국 독자들은 운전할 때, 이동할 때, 운동할 때 오디오북을 즐겨 듣는다. 아침저녁 피곤한 몸으로 직접 차를 운전해 출퇴근한다면 이 오디오북만큼 든든한 동행자를 찾기 쉽지 않다. 음악이나 팟캐스트보다 집중도를 높여 졸음운전에서 벗어나게 한다. 왕복 2시간 출퇴근 시간으로 셈하면 52일간 새 작품을 연속해 들을 수 있다. 차례는 원작발표연도순입니다. 소설 전편을 낭독합니다.",https://audioclip.naver.com/audiobooks/4AAD8E9B68
해시의 신루 10권,윤이수,"""구르미 그린 달빛"" 작가 윤이수가 내놓은 또 하나의 역사 판타지 로맨스! 네이버 웹소설 누적 조회 5천만회, 평점 9.98점의 베스트셀러! 15세기 조선. 이곳에 운명을 거부하고 도망치는 여인, '해루'가 있다. 미래를 예언하는 신비한 능력은 그녀에게 독일 뿐. 어느 날, 그녀 앞에 천하 제일 길치에 공갈을 일삼는 해괴한 사내가 나타나는데. 그의 정체는 조선 최고의 천재 군주라 불리는 '이향'이다. 별이 가득한 밤하늘을 사랑하고 동경하는 그와, 자신의 운명에 기꺼이 맞서는 그녀. 두 사람의 시간이 맞닿아 돌아가기 시작한다. ✔ 네이버 시리즈에서 원작보기",https://audioclip.naver.com/audiobooks/CCC51F1DDF
해시의 신루 9권,윤이수,"""구르미 그린 달빛"" 작가 윤이수가 내놓은 또 하나의 역사 판타지 로맨스! 네이버 웹소설 누적 조회 5천만회, 평점 9.98점의 베스트셀러! 15세기 조선. 이곳에 운명을 거부하고 도망치는 여인, '해루'가 있다. 미래를 예언하는 신비한 능력은 그녀에게 독일 뿐. 어느 날, 그녀 앞에 천하 제일 길치에 공갈을 일삼는 해괴한 사내가 나타나는데. 그의 정체는 조선 최고의 천재 군주라 불리는 '이향'이다. 별이 가득한 밤하늘을 사랑하고 동경하는 그와, 자신의 운명에 기꺼이 맞서는 그녀. 두 사람의 시간이 맞닿아 돌아가기 시작한다. ✔ 네이버 시리즈에서 원작보기",https://audioclip.naver.com/audiobooks/DABB9FC63C
원통 안의 소녀 (오정연),김초엽,"함께 산책을 할 수 있을까요? 자유를 꿈꾸는 지유와 노아의 이야기 탄탄한 과학적 상상력에 독특한 감성을 더한 작품들을 발표하며 한국 SF의 신성으로 떠오른 김초엽 작가의 작품이다. 작가는 완벽해 보이는 미래 도시에서 오히려 소외된 일상을 살아가야 하는 두 인물, 지유와 노아의 이야기를 가슴 뭉클하게 그린다. ‘수많은 사람 가운데 나만이 원통 안에 갇혀서 돌아다녀야 한다면, 맨땅을 자유롭게 밟거나 햇볕을 온전히 쬘 수 없다면 어떨까’ 하는 가정(假定) 속에 담긴 장애와 차이에 대한 사유가 아름답게 빛난다. 푸른 색감을 주되게 사용한 은은하고 부드러운 근하의 일러스트가 소설과 잘 어우러지며 작가의 상상력과 독자의 감수성이 만나는 길을 이끈다. *** 오정연이 낭독하는 김초엽 작가의 「원통 안의 소녀 」는 아이돌 및 각계 저명인사의 목소리 재능을 기부받아 소리책을 만들고 이를 통해 청각 장애인에게 희망의 소리를 선물하는 캠페인에 참여한 작품이다. 캠페인 수익금의 일부는 사랑의 달팽이 재단에 기부되어, 경제적 어려움으로 소리 없는 세상에 살고 있는 난청 아동들에게 희망의 소리를 선물해주기 위한 지원 기금으로 사용되어진다.",https://audioclip.naver.com/audiobooks/BBF5BBB4E5
비행운 <서른>,김애란,"김애란이 돌아왔다. 2012년 올해로 등단 만 10년 차가 되는 시간 동안 공백 없이 작품을 발표해오기도 했지만, 지난해 출간한 첫 장편소설 <두근두근 내 인생>으로 차세대 '젊은 작가'라는 수식어를 2010년대 대표 작가로 갈아치운 그녀다. 많은 사랑과 기대를 한 몸에 받으며 세번째 소설집 <비행운>을 가지고 왔다. '비행운'은 새로운 삶을 동경하는 형식으로(飛行雲), 하지만 현실을 벗어나지 못하게 하는 연쇄적 불운(非幸運)에 발목 잡힌 '우리들'의 이야기를 담고 있다. 문학평론가 박준석이 말했듯 ""김애란 소설은 우선 안부를 묻고 전하는 이야기, 말하자면 하이-스토리hi-story라고 부를 수 있다. 이 안부에는 개인적인 소소한 안녕을 넘어선 어떤 윤리""를 가지고 동세대의 실존적 고민을 드러내며 살아남은 자들에게 인사를 전한다. 친구처럼 곁에서 나의 이야기를 들어주러 온 듯 이번 소설집에서도 김애란은 자신의 매력을 백분 발휘한다. 또한 좀더 많은 세대와 공간을 아우르며 '확장'을 시도하기도 하는데, 그것은 김애란 '너머'를 발견하게 하는 기회를 마련해줄 것이다. 2011 젊은작가상 대상 수상작 '물속 골리앗', 2010 이상문학상 우수상 수상작 '그곳에 밤 여기에 노래' 등 모두 8편이 수록되어 있다. <서른>에 등장하는 주인공 역시, 그런 사람이다. 남들처럼 대학을 가고, 학원 아르바이트를 하며 학비를 벌고, 그러다 졸업을 하고, 밀린 학자금 대출을 갚기 위해 하루하루 빡빡하게 살아가던 그런 사람이었다. 남들과 비슷한 삶을 살아가던 주인공에게 어느 날, 비행운(非幸運)이 찾아온다. 오늘을 아슬아슬하게 살아가는 우리의 이야기가 담겨져 있다.",https://audioclip.naver.com/audiobooks/8A3964BE62
천년의 사랑,양귀자,"가슴이 저민다, 가슴이 저민다, 가슴이 저민다. 양귀자 화제작 <천년의 사랑> 소설가 양귀자씨가 신작 장편소설. 창작집 <원미동 사람들>， <슬픔도 힘이 된다> 등을 통해 80년대와 90년대 한국 사회의 모순과 갈등을 소시민의 눈으로 묘사하면서 리얼리즘적 여성소설의 영역을 모색했던 그의 작가적 경력에 비추어 볼 때 이번 작품은 탈리얼리즘의 세계를 보여주는 책. 마른 나무처럼 한 방울의 물기조차 남아있지 않을 것 같은 차가운 여자, 오인희. 그리고 사법고시 준비를 위해 산을 올랐다가 천년전 사랑에 눈을 뜬 남자, 성하상. 아주 먼 시간 저편에서부터 결정되어진 특별한 사랑이 다시 시작된다. <천년의 사랑 中 명대사> 인희: 사랑이란, 사랑하는 사람의 시간 속에 들어가고 싶다는 욕망의 다른 이름 아니던가. 세상에 마음을 주지 않으면 마음을 다칠 일도 없다. 상처란 마음을 바깥으로 내보낸 자만이 맛보게 되는 독약이다. 하상: 그것은 지금의 나, 백 년전의 나, 천 년전의 나, 겹겹의 세월 속의 내가 포개져서 발현된 영혼의 사랑을 경험한 것이다. 지쳐서 쓰러지더라도 이 고통이 행복임을 잠시 잊었나 봅니다. 인희: 지금, 나는 깨닫는다. 한없는 그리움이 바로 문제였다고. 그리움이 너무 많으면 마음이 범람한다. 간신히 막아두어던 그리움의 뚝이 무너져 내리면 해야할 말들은 길을 잃고 떠내려가 버리는 것이다. 하상: 당신이 다른 누군가를 사랑하게 된다면... 그렇다면...나는 당신이 택한 그 사람까지 내 사랑 속에 품겠습니다.",https://audioclip.naver.com/audiobooks/ED6AB95CD5
권태 (Resound단편),이상,"「권태」는 1937년 5월 『조선일보』에 발표된 '이상'의 작품입니다. 총 7장으로 구성된 '권태'는 여름날 벽촌의 권태로운 풍경과 일상에 대한 사실적인 관찰이 주를 이루고 있습니다. '권태'라는 작품 제목처럼 너무나 정적이어서 권태롭기까지한 자연의 정서가 작품 전반에 깔려 있습니다. 농촌 마을의 권태로운 일상을 만연체의 문장으로 묘사하고 있는 '권태'는 작가의 내면 세계를 섬세한 언어로 포착해냈다는 평가를 받고 있습니다. 이상이 그리고 있는 일상의 권태는 일제 강점기에서 무기력하게 살아가는 있는 지식인의 모습을 그리고 있다고 볼 수 있습니다. 「권태」의 오리지널 스코어를 작곡한 '원일'은 평창동계올림픽 개폐회식 음악감독을 역임하고, 현재 경기도립국악단의 예술감독을 맡고 있습니다. 장선우 감독의 영화 '꽃잎' 등으로 대종상 영화제 음악상을 4차례나 수상한 한국을 대표하는 작곡가이자, 정통 국악 연주자이기도 합니다. 30대에 이미 천재성을 보이며 한국예술종합학교 교수 및 국립관현악단 예술감독을 지냈고, 국악을 넘어 끊임없이 파격적이며 새로운 음악을 추구하고 있습니다. 100년 전 우리 소설, 아름다운 소리로 만나다. [Resound 단편] 시리즈 소위 ‘고전’이라 불리는 작품들은 시대를 불문하고 인간과 삶을 관통하는 날카로운 통찰을 담고 있습니다. 그러나 한 번쯤 제목은 들어 봤을지라도, 제대로 읽어본 적은 없는 경우가 많습니다. 왜일까요? 어쩌면 고전은 낡고 지루하며 어렵다는 편견이 있는 건 아닐까요. [Resound 단편] 시리즈는 그 편견을 깹니다. 오늘날 활발히 활동 중인 작가들이 고쳐 쓰고, 그 원고를 전문 배우들이 생생하게 낭독하고, 거기에 뮤지션들이 작곡한 음악이 더해져, 고전은 새로운 예술작품이 되었습니다. 옛 것의 가치는 간직하되 새로운 옷을 입고 화려하게 돌아온 50편의 [Resound 단편] 시리즈가 새로운 문학의 세계, 감상하는 오디오북의 세계로 당신을 초대합니다.",https://audioclip.naver.com/audiobooks/940543964F
아가미,구병모,"소설가 구병모가 그려낸 가장 비밀스럽고 아름다운 세계 아가미를 갖게 된 소년과 소외된 이들의 눈부신 잔혹동화 소설가 구병모의 대표작 『아가미』가 돌아왔다. 수많은 마니아 독자들 사이에서 재출간 요구가 속출했던 바로 그 작품이 예쁘게 새옷을 갈아입고 세상에 새로이 선을 보인다. 『아가미』는 죽음의 문턱에서 아가미를 갖게 된 소년의 슬픈 운명을 그려낸 아름다운 잔혹동화이다. 아가미로 숨을 쉬고 눈부신 비늘을 반짝이며 깊고 푸른 호수 속을 헤엄치는 곤. 자신의 정체를 숨기고 세상과 단절된 채 살아가는 소년은 물속에서만큼은 한없는 자유를 느낀다. 곤에게 새로운 이름과 삶을 건네준 강하, 곤의 도움으로 목숨을 건진 해류. 삶이라는 저주받은 물속에서, 오늘도 그리고 내일도 간절히 숨 쉬고 싶은, 세상으로부터 버림받고 소외된 이들의 이야기가 신비롭고도 아름답게 펼쳐진다.",https://audioclip.naver.com/audiobooks/2D32B02F40
9번의 일,김혜진,"이 오디오북은 한국출판문화산업진흥원 (KPIPA) 의 ‘2020년 오디오북 제작 지원 ’ 사업 선정작입니다 . * 오늘도 내일도 각자의 일터에서 일을 하는 우리가 반드시 읽어야 할 소설! “일이라는 건 결국엔 사람을 이렇게 만듭니다. 좋은 거, 나쁜 거. 그런 게 정말 있다고 생각해요? * 평온한 일상을 밀어내는 참혹하고도 슬픈 일의 실체 《딸에 대하여》 김혜진이 응시한 한 남자의 조용한 비극 《딸에 대하여》로 독자들의 많은 사랑을 받았던 작가 김혜진이 신작 장편소설 《9번의 일》로 2년여 만에 돌아왔다. 《딸에 대하여》가 동성애자 딸의 삶을 바라보는 요양보호사 어머니의 이야기였다면, 《9번의 일》은 귄고사직을 거부한 채 회사에 남아 계속해서 일을 해나가는 한 남자의 이야기다. 작가는 통신회사 설치 기사로 일하는 평범한 남자를 통해 평온한 삶의 근간을 갉아가는 ‘일’의 실체를 담담하면서도 집요하게 들여다본다. 그저 계속 ‘일’이 하고 싶었을 뿐인 남자는 지금 있는 자리에 남기로 선택함으로써 회사가 만든 시험장 한가운데로 들어간다. 계속해서 직책이 바뀌고 여러 번 근무지가 바뀌어가면서 남자는 자신의 고유한 인간성마저도 상실한다. 회사를 위해서는 뭐든 해야 하고, 뭐든 할 수 있는 ‘9번 남자’. 그렇다면 ‘9번 남자’는 나쁜 사람일까? 나쁜 건 역시 회사일까? 아니, 일이란 건 원래 나쁜 걸까? 그 질문들의 끝에서 우리는 묻게 된다. 진짜 나쁜 것은 무엇인가? 《필경사 바틀비》의 주인공 ‘바틀비’가 “그렇게 안 하고 싶습니다”라고 외치며 버티고 버티다가 결국 우리에게서 잊혀졌다면, 《9번의 일》의 남자는 ‘이름’을 잃고 ‘9번’이 된 채 ‘그게 뭐든 하겠습니다’의 자세로 하고 또 하다가 결국 자신을 망가뜨리고야 만다. 잊히기는커녕 누구에게도 기억되지 못한 채로. ‘일’하는 마음과 ‘일’을 앓는 마음 그 어딘가에서 작가가 짚어낸 건, 결국 끝까지 남아 계속 우리를 더 나쁜 쪽으로 밀어붙이는 ‘일’의 수많은 감정들일 것이다. 오늘도 내일도 각자의 일터에서 계속해서 ‘일’이란 것을 해야 하는 우리들은, ‘바틀비’나 ‘9번 남자’가 아닌 또 다른 무엇이 될 수 있을까? ‘9번 남자’에게 왜 이 일이 필요했는지 충분히 설명하지 않은 채 소설이 끝난 건 그 질문이 향하는 곳에 ‘9번’이 아닌 ‘우리’가 있기 때문일 것이다. 《9번의 일》은 우리에게 묻는다. 왜 이 일을 하는가? 언제까지 이 일을 하고 싶은가? 이 일을 계속하면서 결국 닿게 되는 그 끝에서 무엇을 보고 싶은가? 다행히도 우리는 아직 늦지 않았다. 우리는 아직 자기 자신도, 일도, 그리고 그 어떤 것도 잃어버리지 않았다. 그렇다면, 이 소설을 마무리할 책임은 우리에게 있다. 9번이 되고, 10번이 되고, 11번이 될 것인지. 그렇게 되지 않으려면 무엇을 해야 하는지. “생각을 하자. 생각을.” _본문 중에서",https://audioclip.naver.com/audiobooks/90741C293F
"맨스필드 파크 (민음사 세계문학, 완독본)",제인 오스틴,"셰익스피어의 뒤를 이어 ‘지난 천 년간 최고의 문학가’로 꼽히는 제인 오스틴 섬세한 필체와 탁월한 위트가 빛을 발하는, 풍자와 심리 묘사의 보고 ▶ 그 어떤 소설가도 인간의 가치에 대한 완벽한 의미를 제인 오스틴보다 더 잘 살리지 못할 것이다. — 버지니아 울프 ▶ 제인 오스틴은 모든 작가들이 꿈꾸는 별과 같은 존재이다. — 조앤 K. 롤링 ▶ 여성의 자존감은 제인 오스틴의 발명품이라고 해도 과언이 아니다. ─《가디언》 ≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡≡ 경이로운 해에 탄생한 명작 『맨스필드 파크』 세상을 향한 예리한 시선, 오스틴의 손끝에서 탄생한 빛나는 말들 전 세계 수많은 제이나이트(Janeite)를 양산하고, 셰익스피어의 뒤를 이어 지난 천 년간 최고의 문학가로 평가받고 있는 제인 오스틴. 평생 독신으로 가족을 돌보며 집안의 대소사를 도맡아 하는 틈틈이 거실 작은 탁자에서 남몰래 불후의 명작들을 줄줄이 탄생시킨 천재 소설가, 젊은이들의 사랑과 결혼에 초점을 두고 있으나 당대 시골 대지주 계급의 위선과 가부장적 질서를 비판한 풍자와 심리 묘사의 대가 제인 오스틴의 세 번째 작품 『맨스필드 파크』가 민음사 세계문학전집 366번으로 출간되었다. 이로써 독자들은 민음사 세계문학전집을 통해 제인 오스틴의 명저 여섯 권을 모두 감상할 수 있게 되었다. 햄프셔의 작은 시골 마을 스티븐턴에서 여덟 형제자매 중 일곱째로 자란 오스틴은 스무 살이 되던 해 아버지를 따라 배스로 이사했고, 목사인 아버지가 사망하고 난 후 극심한 생활고를 겪으며 어머니와 언니와 함께 친척집을 떠돌며 힘겨운 생활을 이어 가지만 결코 소설 창작을 멈추지 않는다. 오스틴은 친척인 지주 집안의 양자가 된 오빠 에드워드가 자신의 영지 초턴 코티지에 거처를 마련해 준 1810년대에 이르러 본격적으로 작품 활동에 매진한다. 1811년부터 오 년 남짓한 기간은 그야말로 ‘경이로운 해’로서, 오스틴은 이 시기 『맨스필드 파크』를 포함한 다섯 편의 장편 소설을 잇달아 출간하며 대중에게 이름을 알렸으며, 1816년에 마지막 작품인 『설득』을 완성한다. 이후 동생 헨리가 오스틴 생전에 세상에 나오지 못한 『설득』과 오스틴이 십 대 후반에 완성한 작품인 『노생거 사원』을 1817년에 출간하게 된다. 『맨스필드 파크』가 출간된 1814년 당시 오스틴은 앞서 출간한 두 작품 『이성과 감성』(1811)과 『오만과 편견』(1813)의 명성에 힘입어 작가로서 두각을 나타내던 때였다. 이어 이 작품이 발표되자 초판은 육 개월 만에 매진되고, 이 년 후 출간한 재판 역시 매진되기에 이른다. 아울러 오스틴은 런던 문단의 관심을 얻게 되고 당시 섭정으로 왕의 지위에 있던 동궁의 초청을 받아 궁전에서 알현했으며, 이듬해 출간된 『에마』(1815)를 동궁에게 헌정한다. 오스틴의 작품들 중 가장 널리 인정받는 작품이 『오만과 편견』이고 작가 스스로도 이 작품을 가장 좋아한다고 밝힌 바 있지만, 『맨스필드 파크』는 여타 소설들에 비해 주인공의 성격이 다면적이고, 인물들의 내면 심리가 탁월하게 묘사되어 있으며, 작품 전반에 걸쳐 작가의 문제의식이 깊이 있게 드러나 오스틴의 소설 중 가장 문제적이라고 평가받는다.",https://audioclip.naver.com/audiobooks/EB918108DF
