titles,authors,informs
송일국이 읽는 송영의 석공 조합 대표,송영 저,"[100인의 배우, 우리 문학을 읽다] 오디오북 시리즈는, 최민식 문소리 정진영 강부자 등 우리 시대를 대표하는 배우 103명이 한국 근현대문학의 주요 중단편소설 100편을 낭독한 프로젝트입니다. ≪석공 조합 대표≫는 카프 서기국 책임자를 지낸 송영의 초기 대표작으로 1927년 ≪문예시대≫ 제2호에 발표됐다. 주인공 ‘창호’는 평양 석공조합대표로서 서울에서 열리는 대회를 앞두고 공장 주인으로부터 참석하지 말라는 회유와 협박을 받는다. 작가의 실제 공장 노동자 경험을 바탕으로 했다. 저열한 노동 현실을 폭로하고 노동자의 각오와 의기를 강조한다."
운수 좋은 날,현진건 저,"1924년 6월 ""개벽""에 발표된 단편소설로, 김첨지라는 인력거꾼의 하루 동안의 일과와 그 아내의 비참한 죽음을 통해 일제 식민지 치하 하층 노동자의 궁핍한 생활상과 기구한 운명을 보여준 작품"
정글북,러디어드 키플링 저,"""최연소 노벨 문학상 수상 작가, 러디어드 키플링의 대표작! 아름다운 우정과 넉넉한 사랑을 보여 주는 정글 속 동물들과 늑대소년의 진한 교감 《정글 북》은 인도 뭄바이에서 태어난 영국 작가 러디어드 키플링의 대표작으로 인도의 정글에서 늑대 무리에 끼어 자란 ‘늑대소년’의 이야기를 다루고 있다. 정글에서 자란 모글리는 문명의 혜택을 받지 못하지만 늑대 가족과 곰 발루 그리고 표범 바기라에게 큰 사랑을 받으며 정글의 규칙을 익혀 간다. 하지만 갈수록 인간에 대한 그리움이 짙어져 결국 인간 세상에 발을 내딛는데……. 1894년에 출간되어 탄생한 지 100년이 훌쩍 지난 오늘날까지 영화와 애니메이션 등으로 재탄생되며 사람들의 지속적인 사랑을 받고 있다. 이처럼 《정글 북》이 오래도록 사랑받을 수 있었던 것은 자연에 대한 묘사가 뛰어나고 인간이 가진 덕목이 무엇인가를 깊이 성찰하고 있기 때문이다. 《정글 북》의 주인공 모글리는 문명의 혜택을 전혀 받지 못하고 자라난 인도의 소년이다. 아기 시절에 호랑이에게 잡혀가 늑대들 틈에서 자란 모글리는 사람의 규칙이 아닌 정글 즉 자연의 규칙을 따라 살아간다. 동물보다 약하고 특별한 무기를 갖추지도 못한 모글리가 정글 속에서 무사히 살아갈 수 있었던 것은 아기였던 모글리를 키워 준 늑대 부모와 모글리를 늑대 무리로 받아준 무리의 지도자 아켈라, 정글의 규칙을 가르쳐 준 곰 발루, 발루와 함께 모글리의 든든한 지원군이 되어 준 표범 바기라의 넉넉한 사랑 덕분이다. 동물들의 사랑과 인간 특유의 슬기와 지혜를 바탕으로 모글리는 정글 속 그 어떤 동물보다 훌륭하게 자라난다. 그리고 그 과정에서 인간의 눈에는 거칠고 사납게만 보이던 동물들의 세계에 사람 못지않은 아름다운 우정과 올바른 마음이 있다는 것을 알려 준다. 인간인 모글리가 언제까지나 정글 속에서 살 수는 없는 법이다. 모글리는 마을로 내려와 인간들과 함께 살아가는 법을 배우려 노력한다. 하지만 모글리를 위협적인 존재로 느끼는 사람들이 결국 모글리를 따돌리고 내쫓는다. 정글의 친구들은 상처받고 돌아온 모글리를 다시 품에 안아주며 정글의 일원으로 받아 준다. 결국 모글리는 다시 인간과 함께 사는 삶을 찾아가지만, 작가는 문명과 멀리 떨어진 정글이야말로 인간이 저지르는 어리석은 잘못과 파괴적인 행동을 바로잡아 줄 유일한 세계임을 보여 준다."""
산,이효석 저,이효석의 [산]은 '자연에의 동화'라는 이효석 소설의 특징을 잘 보여주고 있다. 이효석은 자연과 교감하고 이에 만족하며 생활하는 인물을 서정적인 문체로 잘 묘사하고 있다. 주인공 중실은 김 영감네 집에서 머슴살이를 한 지 7년 만에 쫓겨 나온다. 김 영감의 등글개첩을 건드렸다는 오해 때문이다. 갈 곳이 없는 그는 빈 지게를 지고 산으로 들어가는데… 오디오북 [산]을 통해 이효석의 감칠맛 나는 문체와 풍부한 묘사력을 감상해보자.
[단편] 알로하,윤고은 저,"대산대학문학상, 한겨레문학상을 수상하며 차세대 주목받는 젊은 작가로 떠오른 윤고은의 두번째 소설집 『알로하』가 출간되었다. 제12회 이효석문학상 수상작인 「해마, 날다」를 비롯, 윤고은의 재기발랄한 상상력과 절박한 세계인식이 절묘하게 어우러진 아홉편의 작품을 실었다. 인성에 대한 자본의 공격이 첨예화된 사회, 그 안에서 소멸되지 않기 위해 고투하는 인물에 대한 묘사는 한층 세련되고 깊어진 윤고은의 통찰력에 전적인 신뢰감을 안겨준다."
연탄 두 장의 행복,이재욱 저,"[본 오디오북은 '요약본'입니다.] 現 부천작가회의 회장이자 수주문학상 운영위원 ‘이재욱’ 소설가의 단편집 우리 사회의 어두운 민낯을 소설로 생생히 그려내다! 현재 부천작가회의 회장이자 수주문학상 운영위원으로 활동 중인 이재욱 소설가의『연탄 두 장의 행복』. 노년층, 이혼녀, 불법체류 외국인 등이 우리 사회에서 겪는 참담한 현실을 생생히 전한다. 제목과는 완전히 다른, 섬뜩한 결말을 담고 있는 「연탄 두 장의 행복」을 필두로 총 아홉 편의 단편소설들이 환희와 슬픔, 불행과 행복을 그려내고 있다."
광야 - 일본 중단편 고전문학,호리 다쓰오 저,엄선한 일본 근현대 중단편 문학의 정수! ― 아홉 번째 이야기 일본 예술파를 대표하는 작가 호리 다쓰오 지금과는 다른 결혼 풍습이 빚어내는 부부의 애절한 마음을 그린 작품 지성과 서정이 유합된 산문예술의 극치.
하린,민영기 저,"[본 오디오북은 '요약본'입니다.] “명문가 가문이 하린의 운명이라면, 하린은 나의 운명이었소…” 충정공 민영환 선생의 증손녀 민명기 작가의 첫 장편소설 시대의 격변 속 고난의 삶을 헤쳐나간 한 명문가 종부의 운명적 사랑과 여정 충정공 민영환 선생의 증손녀 민명기 작가의 첫 장편소설 『하린』이 출간됐다. 고종황제의 외가이며 명성황후의 집안이기도 한 여흥 민씨의 가계에서 태어난 민명기 작가는, 어릴 적 집안 어른들로부터 들은 많은 이야기들을 소설로 옮기고 싶은 꿈을 가지고 있었다. 장편소설 『하린』 그 첫 번째 작품이다. 이 작품은 민명기 작가가 직접 겪은 삶을, 오래 품고 있었던 자신의 이야기를 한 땀 한 땀 정성을 들여 재구성한 것이다. 이 소설에서 ‘여름 기린’이라는 이름을 가진 ‘하린(夏麟)’은 명문가 가문의 종부로서 운명을 거역하지 못하고 사랑의 인연마저 제 스스로 허락하지 않는데, 마치 내 어머니, 우리 시대의 모든 어머니의 모습처럼 안타까운 시선이 작가의 문장마다 녹아 있다. 민명기 작가는 “일제강점기에 태어나 해방과 육이오 전쟁이라는 시대의 격변 앞에 속수무책으로 내던져진 여인들. 왕조의 몰락과 양반계급의 붕괴, 가혹한 전쟁과 함께 밀어닥친 변화의 물결은 사람들의 삶의 뿌리를 송두리째 흔들어놓았으니, 특히 몰락한 왕가와 인연이 깊었던 가문의 여인들의 삶은 더욱 가혹한 것이었다. 그 여인들의 삶의 모습을 그들의 언어로 그려보고 싶었다.”고 밝히고 있다. 고종황제의 마지막 아내, 그러나 고종황제의 얼굴조차 보지 못한 여인이 있다. 명성황후의 집안이지만 나라와 함께 몰락한 양반가가 있다. 이야기는 역사에서 나와 한 여인의 삶이 된다. 소녀였다가 어머니였다가 마침내 여인이 되는 삶. 그 삶이 풀어낸 지나간 시대. ‘하린’이라는 이름을 불러본다. 마치 내 어머니, 모든 어머니들의 이름을 불러보듯…"
[단편] 해룡 이야기,현기영 저,"제주의 4월, 그곳에는 ‘순이 삼촌’이 있다 현대사에 빛나는 거장 현기영의 문학인생 40년 탄탄한 구성과 서정적인 묘사가 어우러진 중후한 문체로 제주도 수난의 역사를 애정어린 시선으로 파고들면서 특히 ‘4․3사건’의 역사적 진실을 복원하는 데 집중해왔던 현기영의 중단편전집(전3권)이 출간되었다. 동아일보 신춘문예 등단작 「아버지」(1975)부터 계간 『창작과비평』에 발표하면서 문단에 큰 파장을 불러일으킨 ‘4․3소설’의 최고봉이자 ‘4․3사건’ 그 자체라고도 할 수 있는 「순이 삼촌」(1978), 단편소설의 백미인 「마지막 테우리」(1994)까지 모두 30편의 중단편 작품(마당극 「일식풀이」와 희곡 「변방에 우짖는 새」 포함)을 개정해 새로운 장정으로 선보인다. 비록 과작이기는 하나 빼어난 문학적 성취를 보여준 현기영 소설의 정수를 일목요연하게 맛볼 수 있는 이 전집은 작가의 등단 40주년을 기념하는 동시에 그의 작품을 새롭게 조명하는 것이다. 역사에 대한 깊은 성찰과 인간에 대한 애정이 녹아든 명편들은 여전히 변함없는 감동을 자아내며 작가의 강직하고 사려깊은 문학적 삶은 묵직한 울림으로 다가온다. 첫째권 『순이 삼촌』에는 표제작을 비롯하여 10편의 소설이 실려 있다. 이중에서 오랫동안 금기시했던 ‘4ㆍ3사건’을 최초로 세상에 알린 「순이 삼촌」, ‘그날’의 처절한 현장을 역사적 현재의 수법으로 절실하게 재현해낸 「도령마루의 까마귀」, ‘4ㆍ3사건’의 비극을 과거의 역사가 아니라 현재적 사건으로 부각시킨 「해룡이야기」 등 초기 3부작이 돋보인다. ‘폭도’에 가담한 아버지를 둔 소년의 불안한 심리를 묘사한 등단작 「아버지」 역시 ‘4․3사건’과 맞닿아 있다. 특히 대표작 「순이 삼촌」은 학살 현장에서 기적적으로 살아났으나 환청과 신경쇠약에 시달리다가 결국은 자살하고 마는 ‘순이 삼촌’의 삶을 되짚어가는 과정을 통해 30년 동안 철저하게 은폐된 진실을 생생히 파헤친 문제작으로, 한국 현대사와 문학사에서 길이 남을 작품으로 꼽힐 만하다. 이밖에 지식인의 고뇌와 개인의 무력감을 섬세하게 그린 「아내와 개오동」, 소시민의식을 역설적으로 비판한 「동냥꾼」 등은 작가의 사회의식이 잘 드러나 있으며, 개인의 의식세계를 미학적으로 파헤친 「꽃샘바람」 「초혼굿」 「겨울 앞에서」 등에서는 초기 소설의 경향을 엿볼 수 있다. 조선시대 지배계급의 부정부패를 통렬하게 풍자한 「소드방놀이」는 탁월한 상상력과 상징성으로 오늘의 세태를 정곡으로 찌른다."
송일국이 읽는 송영의 석공 조합 대표,송영 저,"[100인의 배우, 우리 문학을 읽다] 오디오북 시리즈는, 최민식 문소리 정진영 강부자 등 우리 시대를 대표하는 배우 103명이 한국 근현대문학의 주요 중단편소설 100편을 낭독한 프로젝트입니다. ≪석공 조합 대표≫는 카프 서기국 책임자를 지낸 송영의 초기 대표작으로 1927년 ≪문예시대≫ 제2호에 발표됐다. 주인공 ‘창호’는 평양 석공조합대표로서 서울에서 열리는 대회를 앞두고 공장 주인으로부터 참석하지 말라는 회유와 협박을 받는다. 작가의 실제 공장 노동자 경험을 바탕으로 했다. 저열한 노동 현실을 폭로하고 노동자의 각오와 의기를 강조한다."
