titles,authors,informs
양준모가 읽는 조해일의 뿔,조해일 저,"[100인의 배우, 우리 문학을 읽다] 오디오북 시리즈는, 최민식 문소리 정진영 강부자 등 우리 시대를 대표하는 배우 103명이 한국 근현대문학의 주요 중단편소설 100편을 낭독한 프로젝트입니다. ≪뿔≫은 1972년 ≪문학과지성≫에 발표된 조해일의 단편이다. 문학청년 주인공과 그의 하숙집 이사를 돕는 지게꾼이 동행하면서 겪는 이야기를 통해 속도경쟁에 몰두하는 산업사회의 ‘효용성’을 풍자한다."
언제나 당신인 이유,조진경 저,"강아지는 귀엽지만 아이는 싫다. 남들이 보기엔 강아지 옷을 만들며 밝게 사는 영인. 동그란 눈의 강아지는 귀여워서 어쩔 줄을 몰라 하지만, 아이는 딱 질색으로 싫어한다. 친한 언니이자 사업을 도와주는 주미와 오피스텔로 이사한 그녀는 젊지만 까칠한 관리소장인 준하와 만나게 되는데…. “강아지 짖는 소리 때문에 민원이 계속 들어오는 건 알죠?” “주의하도록 할게요. 그럼 이만.” 살짝 고개를 숙였다가 들고 그의 옆을 지나갔다. 나를 볼 때마다 인상을 쓰고 말하는 그를 보면 종일 재수가 없었다. 오늘도 고객의 컴플레인에 시달리게 되는 건 아닌지 모르겠다. “아줌마, 강아지 키워요?” 엘리베이터를 타려는데 뒤에서 아이의 목소리가 들렸다. 돌아보니 어제도 내게 달라붙어서 귀찮게 하던 아이였다. 대체 엄마가 누구인지, 매번 아이만 혼자 다녔다. “아니, 엄마는 어디 있니?” “나, 엄마 없어요. 아줌마가 우리 엄마 할래요?” 뭐? 엄마? 다섯 살도 안 되어 보는 아이에게 화를 낼 필요는 없다. “그럼 아빠는 어디 계셔?” “우리 아빠요?” 아이가 손을 올려 가리키는 곳을 보자마자 눈살을 찌푸렸다. 아… 이 오피스텔의 관리소장이 아이의 아빠라니……."
자전거에 탄 쓸쓸한 사람 - 세계 미스터리 고전문학,아서 코난 도일 저,"세계 유명 작가들의 미스터리 고전을 엄선하여 소개하는 시리즈의 스물한 번째 작품! 남아프리카에서 알게 된 노인의 조카딸을 찾는 두 사내. 그녀의 형편이 어렵다는 사실을 알고 그들 중 한 사람이 자기 집의 가정교사로 그녀를 고용한다. 그의 집에서 런던으로 나올 때면 자전거를 타고 그녀의 뒤를 따라오는 의문의 사내. 《출판사서평》 추리의 세계는 언제나 흥미진진하다. 공상의 세계 역시 흥미진진하기는 하지만 그것은 현실과 상관없이 펼쳐지기도 한다. 고립된 독방에서도 너른 세상의 수많은 사람들과 다채로운 일들을 떠올리게 해주는 것이 공상이다. 물론 이것도 개인의 경험을 바탕으로 펼쳐지기는 하지만 거기에 논리성 같은 것은 필요 없어서 이 사건이 저 사건과 하나가 되기도 하고 한 사건이 전혀 연관성 없는 다른 세계로 펼쳐지기도 한다. 하지만 추리는 언제나 현실에 기반을 두고 있다. 하나의 사건 속에서 벌어진 일들은 서로가 밀접한 관계를 맺고 있으나 주의해서 잘 관찰하지 않으면 아무런 관계가 없이 벌어진 일처럼 보이기도 한다. 그렇기 때문에 추리에서는 세심한 관찰과 풍부한 지식이 무엇보다 중요한데, 관찰에서 놓치는 부분이 있으면 결론에 이르기까지의 연결고리가 끊어져 결론에 이르지 못하거나 억측을 낳아 전혀 엉뚱한 곳에 다다르게 되고, 풍부한 지식이 없으면 관찰을 통해 밝혀낸 사실들의 참된 의미를 알지 못해 결정적인 사항을 놓치거나 역시 엉뚱한 결론에 다다르게 되기 때문이다. 따라서 추리에는 관찰과 지식, 그리고 논리성이 절대적이다. 이번 시리즈에서는 세계적 명성을 얻은 작가들의 추리소설을 소개하겠다. 그들이 펼쳐 보이는 화려한 추리의 세계를 통해 재미와 함께, 정확한 추리를 위해서는 무엇을 관찰해야 하는지 또 관찰을 통해 얻은 사실은 무엇을 의미하는지 그러한 사실들을 어떻게 논리적으로 연결 지어야 하는지, 그 과정을 배워보기 바란다."
아들이 된 아빠,토마스 앤스티 저,"영혼 체인지 작품의 원조 격 아빠와 아들이 영혼이 뒤바뀌며 전하는 대리만족의 재미와 역지사지의 가치 딕은 겨울 방학이 끝나서 학교로 돌아가야 하는 게 무척 싫다. 하지만 아빠는 다시 아이가 되어 학교에 다니고 싶다며 딕의 마음을 전혀 몰라준다. 때마침 딕의 외삼촌이 준 마법의 돌로 인해 아빠는 아들의 모습으로, 아들은 아빠의 모습으로 뒤바뀐다. 서로의 역할을 맡게 된 아빠와 아들에게 앞으로 어떤 일이 벌어질까? 《아들이 된 아빠》는 영국에서 태어난 소설가 토머스 앤스티가 1882년에 맨 처음으로 발표한 작품이자, 그에게 대중적인 인지도를 높여 준 작품이기도 하다. 이 작품의 주요 설정은 바로 ‘영혼 체인지’다. 영혼 체인지는 이제 영화나 드라마에서 어렵지 않게 찾아볼 수 있는 단골 소재다. 하지만 엄밀히 말하면, 영혼 체인지는 이 작품이 먼저라고 할 수 있다. 개구쟁이 아들 딕은 겨울 방학이 끝난 뒤 학교로 돌아가기 싫어하지만 권위적인 아빠는 무조건 학교에 가라고 할 뿐, 아들이 어떠한 어려움을 겪고 있는지 이해하려 하지 않는다. 그러다 아빠와 아들이 마법의 돌로 영혼이 뒤바뀌면서 서로의 역할을 바꿔야 하는 황당한 상황에 처한다. 어쩔 수 없이 학교에 간 아빠는 아들의 친구들에게 맞기도 하고, 학생들을 억압하는 학교생활도 경험하게 된다. 반대로, 아빠의 역할을 하게 된 딕은 집에서는 전쟁 놀이와 산적 놀이를 하고, 회사에서는 사업 파트너에게 쓰레기 벼락을 내리는 장난을 치며 아빠의 사업을 엉망으로 만들기도 한다. 하지만, 그 모든 과정은 입장 바꿔 서로를 이해하는 데 큰 도움을 준다. 독자는 두 사람의 영혼 체인지를 통해서 대리 만족의 희열도 느끼고, 아빠와 아들의 시선을 동시에 경험하며 고충을 이해할 수 있다."
장기 입원 환자,아서 코난도일 저,홈즈 시리즈 두 번째 단편집 ‘셜록 홈즈의 회상’에 수록된 [장기 입원 환자]입니다. 가난한 의사가 투자자를 만나 병원을 개업합니다. 그리고 투자자는 병을 치료하기 위해 2층에 공간을 마련하고 장기 입원 환자가 됩니다.
김동인의 감자,김동인 저,"사농공상의 2위인 농민의 자재이지만 어려서부터 도덕을 중요시 여기는 마음을 간직했던 복녀. 팔십원에 팔려 결혼을 하고 빈민굴에 들어서면서 그녀의 인생이 뒤틀리기 시작하는데……. 김동인의 감자를 보기 쉽게, 현대적 해석에 맞춰 재구성한 작품이다. ‘도덕’이라는 기치를 지켜왔던 복녀가 현실에 타락해 가는 모습을 적나라하게 보여주고 있다."
상어 섬의 어머니들,킷 리드 저,"“유리감옥을 깨뜨려라!” SF 소설의 페미니즘 르네상스를 이끌어온 전 세계 여성 작가들의 주옥 같은 작품을 가려 모았다. 오늘날 SF 소설계에서 가장 인정받는 편집팀으로서 여러 상을 수상하기도 한 앤 밴더미어와 제프 밴더미어 부부가 선정하고 구성한 뛰어난 페미니즘 SF 선집이다. 1960년대 작품부터 동시대 작품까지 두루 포함하는 이 선집은 페미니즘 담론의 확장을 추구하는 동시에 상상력 넘치는 풍성한 생각거리로 독자들을 이끈다. 이 걸작선은 SF와 페미니즘의 연관관계를 보여 주는 대담한 사례들을 모았다. 조안나 러스의 고전 <그들이 돌아온다 해도>에서부터 에일린 건의 <중간관리자를 위한 안정화 전략> 같은 풍자적인 작품까지, 이 영역의 작업들이 가지는 강렬한 집중도를 드러낸다. 캐서린 M. 밸런트와 같은 주목받는 작가들과 함께 반다나 싱, 히로미 고토와 같은 전 세계 작가들의 작품을 포함한 이 선집은 페미니즘의 다양한 목소리들을 담아낸다. 이 선집은 동시대 소설과 페미니즘의 두 측면에서 새로운 전선들로 사고를 확장한다. 환상적인 작품에서 미래지향적 작품으로, 신비로운 작품에서 초현실적인 작품으로 옮겨가는 이야기들은 지금 우리가 접할 수 있는 어떤 책과도 다른 페미니즘을 향한 생각들과 감정들을 불러일으킨다. “SF 소설이 가진 남다른 정치적 힘을 보여주는 꼭 필요한, 잘 가려 뽑은 선집.” - <커커스 리뷰> “여기 수록된 이야기들은 우리가 원했던 바로 그 일을 해낸다. 진부한 설정들을 찢어발기고, 젠더와 그 함의에 의문을 던지고, 풍자와 유머와 사회적 징후와 규정들에 대한 날카로운 지적 분석을 동반한 의도적 무지를 이용하여 정체성을 들여다본다.” - 마베쉬 무라드, <토르닷컴> “지난 수십 년간 여성 SF 작가들이 이룬 가장 빛나는 성과들을 엮은 다채롭고 놀라운 선집이다.” - 앤드류 앤드류스, ‘truereviewonline.com’ “저자들은 모두 페미니스트이며 SF 소설 혁명의 자매들이다. 그러므로 그들의 역할은 가능한 세계와 존재의 방식들을 탐험하는 것이며, 그려진 시나리오들로부터 각자의 교훈을 끌어내는 것은 독자들의 몫이다.” - 에리카 스미스, <피스 뉴스> “페미니스트든 아니든 SF 소설 팬이라면 누구나 반드시 읽어야 할 필독서이며, 이런저런 여성학 관련 학습과정을 짤 때 활용할 수 있는 흥미로운 텍스트가 될 것이다.” - 다이앤 칸스, ‘worldliteraturetoday.org’ “이 매혹적인 선집은 뉴웨이브 SF와 페미니즘 사변소설계의 경향들이 어떻게 여성과 페미니즘에 관한 문화와 관점의 변화들을 반영하고 있는지 보여준다.” - 바네사 부시, <북리스트> “이 책에 실린 작품들은 모두 여성들이 세계와 맺고 있는 관계의 양상들을 탐구한다. 이 작품들은 사회적 역할과 성역할, 성별, 연애 관계, 일과의 관계에 주목한다.” - 일레인 갤러퍼, <인터존> “이 책은 우리 모두가 연루돼 있는 장르와 젠더, 문화와 맥락에 관한 논의에서 빠질 수 없는 강력하고도 귀중한 선집이다.” - 캐리 스페링, <스트레인지호라이즌닷컴> “밴더미어 부부가 페미니즘 면에서든 다른 어떤 면에서든 근래 들어 최고의 SF 선집이라 할 만한 걸 엮어냈다.” - 일리저베스 핸드, <로스앤젤레스 타임즈> “주제에 맞게 배열된 작품들은 각각의 작품을 가장 선명하게 조명해내는 도발적이고 극적인 배치를 통해 서로 흘러들고 또 서로 반발한다.” - 《퍼블리셔스 위클리》 “편집자들은 이 선집을 얻기 위해 넓게 멀리까지 작품들을 뒤졌다. 다양한 SF의 향연. 장르와 정치적 성향을 떠나 이 책은 훌륭한 선집이다.” - 키스 브룩, 《가디언》 “이 ‘고도로 잘 정돈된’ 페미니즘 SF 선집에는 분명하게 밴더미어 부부의 도장이 찍혀 있다. 이 선집은 호러와 판타지를 포함한 사변소설의 모든 장르를 아우를 뿐만 아니라 이런 주제의 선집에 대한 모두의 기대를 뛰어넘으며 상당한 분량의 초현실적이고 기괴한 작품들까지 선보인다.” - 귀네스 존스, 《뉴욕 SF 리뷰》"
무희 - 일본 중단편 고전문학,모리 오가이 저,"엄선한 일본 근현대 중단편 문학의 정수! ― 두 번째 이야기 나쓰메 소세키와 어깨를 나란히 했던 일본의 문호 모리 오가이 서양 여성과 동양 남성의 사랑을 그려 커다란 충격을 주었던 작품 일본 낭만주의, 유미주의에 지대한 영향을 주었던 작가의 대표작"
김은석이 읽는 미하일 불가코프의 모르핀,미하일 불가코프 저,"모르핀(Морфий) 1917년 러시아 혁명을 전후해 고독 속에서 모르핀에 중독돼 스스로 삶을 망가뜨렸던 한 젊은 의사의 이야기이다. 작가 자신의 실제 중독 경험을 바탕으로 했다. 군청 소재지 병원의 의사 봄가르드는 의대 동창인 인근 시골병원 의사로부터 급히 와달라는 편지를 받는다. 하지만 다음날 그가 출발하기도 전에 동창은 자살 시도를 한 상태로 병원에 실려 오고, 자신의 노트를 남긴 채 결국 사망한다."
김정이 읽는 테오필 고티에의 옹팔,테오필 고티에 저,"옹팔 (Omphale) 학교를 졸업하고 진로를 고민하던 주인공은 파리에 있는 삼촌 집에 잠시 머무른다 소년은 별채 벽에 걸려 있는 태피스트리 속 리디아의 여왕, 옹팔에게 묘하게 매료된다. 그런데 어느 날 밤, 옹팔이 태피스트리에서 걸어 나와 침대 옆으로 다가와 소년에게 말을 건다."
