titles,authors,informs
보이지 않는 사내 - 세계 미스터리 고전문학,길버트 키스 체스터턴 저,"세계 유명 작가들의 미스터리 고전을 엄선하여 소개하는 시리즈의 쉰세 번째 작품! 주위에는 분명 아무도 없는데 누군가의 목소리가 들리고 이상한 사건들이 벌어진다. 결국 그 보이지 않는 사내는 사람의 목숨까지 빼앗는데… 누구의 눈에도 보이지 않는 사내, 그러나 브라운 신부만은 그를 꿰뚫어보고 있었다."
자유종,이해조 저,"1910년 ""광학서포""에서 출간한 토론소설로, 자주독립과 부국번영, 여권 신장, 남녀 평등 의식 고취, 애국 정신 고취와 자유교육을 주장하는 내용의 작품"
다시 그곳에서,컬툰스토리 저,"교통사고 후, 혼수상태였던 민재는 자신을 깨우는 여자의 목소리에 한 달 만에 의식을 회복한다. 그러나 그는 자신이 왜 병원에 있는지조차 기억하지 못하고. 그런 그를 보며 어머니, 권 여사는 아들이 ‘그 애’에 대한 기억을 떠올릴까봐 전전긍긍한다. 혼란스러워 하던 민재는 자신을 찾아온 간호사에게 뜻밖에 물건을 건네받게 되고 조금씩 잊고 있던 정희수란 여자를 떠올리게 되는데…"
여인의 초상,헨리 제임스 저,"세계대표명작을 엄선하여 줄거리, 주제등을  성우의 목소리로 들려주는 세계 명작  보물창고!  오디오북을 통해 세계 대표명작을 만나 보세요."
[증명된 사실] 지옥구더기의 분류학적 위치에 대하여,이산화 저,"이산화가 이산화임을 스스로 증명하는 압도적 경이로움의 연속! 지금 한국에서 가장 촉망받는 SF 작가 이산화 첫 번째 소설집 과학적 엄밀함으로 철저히 중무장하고 있으면서도, 기독교적 전설은 물론 세계의 신화들을 자유자재로 끌어와 이야기로 엮어내는 우리의 일상에 압도적 경이로움을 주는 소설집! 학위 취득 후 마땅한 일자리를 찾지 못한 물리학 박사 이남민. 주인공 이남민은 구인 사이트를 전전하다 최종 면접까지 합격한 유일한 연구소로 간다. 그런데 문제의 연구소는 깊은 산속에서 ‘영혼과 사후세계’를 연구한다는 곳. 도대체 영혼과 사후세계에 대한 연구에 물리학자가 왜 필요한 걸까? 하지만 연구소는 뜻밖에 을씨년스럽거나 괴상하지도, 귀신의 집 같지도 않은 제대로 된 과학 연구소의 분위기를 풍기는데, 연구소에서 과학자에게 요구하는 일은 사후의 세계를 물리적으로 ‘증명’하라는 것. 보태서 연구소는 신기가 있는, 영혼을 볼 수 있는 소녀를 이남민 박사에게 동료로 붙여주며 영혼에 대한 증명은 끝났으니, 이제 ‘사후 세계의 존재’를 증명하라고 한다. 그리고 각종 측정 장비를 동원해, 영혼이 나타나는 곳들을 찾아 다니며 고군분투하던 이남민 박사는 마침내 결국 누구나 알고 있지만 아무도 생각하지 못했던 방식으로 사후의 세계를 증명해내고 마는데…. 꼼꼼한 논리와 치밀한 구성 끝에, 단 한 문장으로 정리된 결론을 통해 독자들을 경이로움과 충격으로 몰고 가는, 제5회 SF어워드 중단편 부문 우수상 수상작 <증명된 사실>을 비롯해 소설집은 지금 왜 작가 이산화가 한국에서 가장 촉망받는 SF 작가인지를 스스로 증명한다."
비운의 주드 6,토마스 하디 저,"※ KBS 슈퍼탤런트 1기 배우 김시연 전권 완독 ※ 토마스 하디 최후의 대표작으로 비극문학의 정수. 19세기 최고의 문제작으로 신랄한 비판을 받았다. 《비운의 주드》는 기혼 남녀 두 주인공이 각각 자신의 배우자를 버리고 동거하여 아이를 낳는 이야기를 아무런 도덕적 비난 없이 그린다. 위선과 허위의식으로 가득 찬 교육제도와, 남녀간의 애정에 기반하지 않은 형식적인 결혼제도를 비판한 이 작품은 당시 기성세대에게 혹독한 공격을 받았으며, 어느 주교에 의해 분서를 당하는 수난까지 겪었고, 그 충격으로 하디는 소설을 절필하기에 이른다. 하디는 주드의 이야기를 한 청년의 사랑 이야기로 끝내지 않고, 운명에 맞서다 스러진 한 인간의 이야기로 승화시켰다. 전체적인 소설의 분위기는 침울하고 비관적이며, 비극적인 세계관이 작품 전체를 관통한다. 《비운의 주드》는 처절한 그의 짧은 일생을 통하여 사회 구조 속에 도사린 불합리한 체제를 변혁하고자 하는 마음이 작품 속에 깊이 퍼져 있다. 토마스 하디는 이 작품을 통해 영국의 고등교육, 사회계급제도, 결혼제도를 공격했다. 작품 곳곳에 하디의 결혼과 이혼에 대한 개방적인 태도가 엿보인다. 비극적인 남녀 주인공을 통해 당대의 도덕관을 깊이 다루면서 비판하고 있다."
[증명된 사실] 우는 물에서 먹을거리를 잡아 돌아오는 잠수부,이산화 저,"이산화가 이산화임을 스스로 증명하는 압도적 경이로움의 연속! 지금 한국에서 가장 촉망받는 SF 작가 이산화 첫 번째 소설집 과학적 엄밀함으로 철저히 중무장하고 있으면서도, 기독교적 전설은 물론 세계의 신화들을 자유자재로 끌어와 이야기로 엮어내는 우리의 일상에 압도적 경이로움을 주는 소설집! 학위 취득 후 마땅한 일자리를 찾지 못한 물리학 박사 이남민. 주인공 이남민은 구인 사이트를 전전하다 최종 면접까지 합격한 유일한 연구소로 간다. 그런데 문제의 연구소는 깊은 산속에서 ‘영혼과 사후세계’를 연구한다는 곳. 도대체 영혼과 사후세계에 대한 연구에 물리학자가 왜 필요한 걸까? 하지만 연구소는 뜻밖에 을씨년스럽거나 괴상하지도, 귀신의 집 같지도 않은 제대로 된 과학 연구소의 분위기를 풍기는데, 연구소에서 과학자에게 요구하는 일은 사후의 세계를 물리적으로 ‘증명’하라는 것. 보태서 연구소는 신기가 있는, 영혼을 볼 수 있는 소녀를 이남민 박사에게 동료로 붙여주며 영혼에 대한 증명은 끝났으니, 이제 ‘사후 세계의 존재’를 증명하라고 한다. 그리고 각종 측정 장비를 동원해, 영혼이 나타나는 곳들을 찾아 다니며 고군분투하던 이남민 박사는 마침내 결국 누구나 알고 있지만 아무도 생각하지 못했던 방식으로 사후의 세계를 증명해내고 마는데…. 꼼꼼한 논리와 치밀한 구성 끝에, 단 한 문장으로 정리된 결론을 통해 독자들을 경이로움과 충격으로 몰고 가는, 제5회 SF어워드 중단편 부문 우수상 수상작 <증명된 사실>을 비롯해 소설집은 지금 왜 작가 이산화가 한국에서 가장 촉망받는 SF 작가인지를 스스로 증명한다."
[야자나무 도적] 문법학자의 다섯 딸,엘리노어 아너슨 저,"전 세계 페미니즘 SF의 작은 박물관, 28편의 중단편을 엮은 《혁명하는 여자들》 완역판!오늘날 SF 소설계에서 가장 인정받는 편집팀으로서 여러 상을 수상하기도 한 앤 밴더미어와 제프 밴더미어 부부가 선정하고 구성한 뛰어난 페미니즘 SF 선집이다. 1960년대 작품부터 동시대 작품까지 두루 포함하는 이 선집은 페미니즘 담론의 확장을 추구하는 동시에 상상력 넘치는 풍성한 생각거리로 독자들을 이끈다. 제임스 팁트리 주니어에서 은네디 오코라포르까지 새로운 전선으로 사고를 확장하라. 이 책은 SF와 페미니즘의 연관관계를 보여 주는 대담한 사례들을 모았다. 제임스 팁트리 주니어의 <나사파리 구제법>에서, 어슐러 K. 르귄, 조안나 러스, 옥타비어 버틀러로 이어지는 고전부터 은네디 오코라포르의 <야자나무 도적> 같은 풍자적인 작품까지, 이 영역의 작업들이 가지는 강렬한 집중도를 드러낸다. 캐서린 M. 밸런트와 같은 주목받는 작가들과 함께 반다나 싱, 히로미 고토 등 전 세계 작가들의 작품을 포함한 이 선집은 페미니즘의 다양한 목소리들을 담아낸다. 이 책은 동시대 소설과 페미니즘의 두 측면에서 새로운 전선들로 사고를 확장한다. 환상적인 작품에서 미래지향적 작품으로, 신비로운 작품에서 초현실적인 작품으로 옮겨가는 이야기들은 지금 우리가 접할 수 있는 어떤 책과도 다른 페미니즘을 향한 생각들과 감정들을 불러일으킨다. “이 책에 수록된 이야기들은 우리가 원했던 바로 그 일을 해낸다. 진부한 설정들을 찢어발기고, 젠더와 그 함의에 의문을 던지고, 풍자와 유머와 사회적 징후와 규정들에 대한 날카로운 지적 분석을 동반한 의도적 무지를 이용하여 정체성을 들여다본다.” - 마베쉬 무라드, <토르닷컴>"
보이지 않는 사내 - 세계 미스터리 고전문학,길버트 키스 체스터턴 저,"세계 유명 작가들의 미스터리 고전을 엄선하여 소개하는 시리즈의 쉰세 번째 작품! 주위에는 분명 아무도 없는데 누군가의 목소리가 들리고 이상한 사건들이 벌어진다. 결국 그 보이지 않는 사내는 사람의 목숨까지 빼앗는데… 누구의 눈에도 보이지 않는 사내, 그러나 브라운 신부만은 그를 꿰뚫어보고 있었다."
자유종,이해조 저,"1910년 ""광학서포""에서 출간한 토론소설로, 자주독립과 부국번영, 여권 신장, 남녀 평등 의식 고취, 애국 정신 고취와 자유교육을 주장하는 내용의 작품"
