titles,authors,informs
최정원이 읽는 이동하의 인동,이동하 저,"[100인의 배우, 우리 문학을 읽다] 오디오북 시리즈는, 최민식 문소리 정진영 강부자 등 우리 시대를 대표하는 배우 103명이 한국 근현대문학의 주요 중단편소설 100편을 낭독한 프로젝트입니다. ≪인동≫은 1967년 신인예술상 모집에 수석 당선된 이동하의 단편소설이다. 두 남녀의 4주에 걸친 겨울여행을 좇아 현실의 무력감과 시련을 견뎌낼 수 있는 길을 찾아간다. ‘겨울’은 당시의 시대 상황을 비유하는 것으로 풀이된다."
사랑,기 드 모파상 저,주인공은 젊은 시절 사냥터에서의 기억을 떠올립니다. 사촌의 초대로 오리 사냥을 나간 주인공은 동이 틀 무렵 날아오르는 새를 향해 방아쇠를 당깁니다. 기 드 모파상의 단편소설
양미경이 읽는 박종화의 아랑의 정조,박종화 저,"[100인의 배우, 우리 문학을 읽다] 오디오북 시리즈는, 최민식 문소리 정진영 강부자 등 우리 시대를 대표하는 배우 103명이 한국 근현대문학의 주요 중단편소설 100편을 낭독한 프로젝트입니다. ≪아랑의 정조≫는 역사소설의 대가 박종화가 ≪문장≫ 1940년 12월호에 발표한 작품으로 ≪삼국유사≫의 ‘도미설화’를 각색했다. 아랑과 도미는 부부다. 아랑의 아름다움을 탐한 개루왕의 계략으로 도미는 눈이 멀고 아랑은 정조를 시험 당한다. 온갖 고난에도 굴하지 않는 민족정신을 일깨우려는 작가의 생각이 담겨 있다."
쓰시마에서 온 소녀,정명섭 저,"믿었던 이들과 칼을 겨눈 싸움 뒤에 나누어 가진 평화와 화해, 성장의 진정한 의미 오늘의 청소년문학 시리즈의 열 번째 권인 《쓰시마에서 온 소녀》는 고려 후기 화약을 들여와 개발한 최무선의 아들 최해산의 청소년 시절을 상상력을 불어넣어 재구성한 것이다. 최해산은 조선 초기 아버지와 같은 길을 걸으면서 화약제조법과 화약 무기를 개발하고, 왜구를 무찌르는 데 큰 공을 세운 인물이다. 정명섭 작가는 야사에 기록된 해산의 어린 시절을 소설적 재미와 반전, 역사적 상상력을 덧입혀 모험 가득한 청소년소설로 변화시켰다. 독자들은 해산이 이국에서 온 소녀 ‘설린’과의 만남으로 잊고 지낸 성장의 의미를 재발견해 나가는 모습과, 온정을 주고받던 스승과 친구를 적으로 만나고 마침내 다시 마음을 확인하는 치열한 과정 속에서 자연스럽게 평화와 화해의 의미를 다시 생각해 볼 수 있을 것이다."
[단편] 매장,김사과 저,"분노하는, 분열하는 아이와 청춘들 소설집 첫머리에 실린 단편 「영이」는 부모의 심각한 불화와 폭력 속에서 고립감과 좌절에 휩싸인 아이의 내면을 충격적으로 그린 등단작이다. ‘영이’가 여럿으로 분열하는 인상적인 도입부와 ‘개 같은 아빠’가 정말로 개가 되어버리는 당돌한 결말 등에서 보이는 과감한 극적 장치와 형식실험, 그리고 그를 통해 표출되는 가족에 대한 동정 없는 경멸과 선혈이 낭자한 폭력 묘사는 김사과라는 ‘무서운 아이’의 출현을 알리는 신호탄이었다. 또한 그것은 앞으로 김사과 소설에서 벌어질 온갖 분노와 폭력과 살인에 대한 예고이기도 했다. 『02』은 실로 미쳐날뛰는 일탈과 폭력의 전시장이라 해도 과언이 아니다. 이어지는 단편 「과학자」에서 고추장에 대한 망상에 사로잡힌 채 고추장을 탐식하던 ‘나’는 거식증인 여자친구가 고추장을 먹기를 거부하자 그녀의 몸에 고추장을 마구 발라 ‘붉은 찰흙으로 빚은 인형’을 만들어버리고, 「이나의 좁고 긴 방」의 ‘이나’는 도움을 청하는 할머니를 목 졸라 죽인 뒤 할머니의 환영과 집에서 아무렇지도 않게 대화를 나눈다. 「준희」의 ‘나’는 자신에게 폭력을 휘두르고 훈계를 늘어놓는 선생을 칼로 찔러 죽이는 상상을 하고, 나중에 선생이 정말로 죽었다는 소식을 듣고는 뛸 듯이 기뻐한다. 몰락한 주변부 청춘인 「나와 b」의 단짝 ‘나’와 ‘b’는 함께 지내던 깡패가 본드를 불다 죽자 쓰레기장에서 그의 시체를 ‘파리처럼’ 불태워버린다."
아를의 여인,알퐁스 도데 저,"아를에서 보게 된 한 여인을 사랑한 아들, 하지만 그녀에겐 다른 남자가 있었는데... 아들을 그리워하는 노부부의 슬픈 사연"
사랑의 집,아그네스 자퍼 저,"일곱 남매를 둔 페플링씨 가족의 성장 이야기 1906년, 독일의 작가 아그네스 자퍼의 대표작이다. 그녀는 남편이 일찍 세상을 떠나자 집을 뷔르츠부르크로 옮기고 아이들을 위한 소설을 쓰기 시작했다. 그렇게 홀로 다섯 남매를 기르며 얻은 경험을 바탕으로, ‘사랑의 집’은 아이들에 대한 깊은 애정과 이해에서 시작되었다. 작품 속 등장인물 페플링씨는 성질은 급하지만, 쾌활하고 명랑한 사람이다. 그리고 어머니는 착실하고 다정한 사람이어서 항상 자식들을 격려하며 용기와 희망을 주었다. 비록 자기 집 없이 셋방살이하는 처지지만, 온 식구들이 서로를 사랑하며 돕고 위로하며 살아가는 모습은 현대를 사는 전형적인 서민의 가정을 보는것 같아서 더욱 큰 관심을 불러일으켰다. 또한, 이 작품에서는 부모는 자녀를 사랑하고, 자녀들은 부모를 공경하며, 형제들은 서로를 믿었을 때 그 집안에 평화와 행복이 깃든다는 것을 강조하고 있다. 그래서 어린이뿐 아니라 어른들도 읽고 즐길만한 가정 소설이다."
에밀과 탐정,에리히 캐스트너 저,"꼬마 탐정들이 벌이는 흥미진진한 추리와 모험 ‘에밀과 탐정’은 1929년, 독일에서 출간된 에리히 케스트너의 아동 장편 소설로, 당대 베를린을 배경으로 한다. 시골에서 상경한 12살짜리 학동 에밀이 도둑맞은 140마르크를 찾기 위해 한 무리의 베를린 아이들과 함께 ""탐정단""을 만들어 도둑을 추적하는 이야기다. 작품 속 주인공인 ‘에밀’은 독일의 작은 시골 마을에서 홀어머니와 단둘이 사는 착한 모범생이다. 어린 나이에도 불구하고, 엄마의 기분과 마음을 앞서 생각할 정도로 사려 깊다. 착한 에밀을 계속해서 괴롭혀 온 그 작은 죄책감은 시간이 지날수록 점점 더 비대해지는 이 사건에 결정적인 요소가 된다. 다른 누군가에게 도움을 요청할 수 없기에 그렇게 자기 스스로 범인을 추적하고 미행한다. 결국 ‘에밀과 탐정’에서 보여 주는 어린이들의 주체적인 생각과 행동들은 타인의 입장을 배려하고, 자신의 잘못을 인정할 줄 아는 에밀의 선한 성정에서 출발했다고 말할 수 있다. 에리히 케스트너는 독일의 현대문학을 대표하는 작가 중 한 명으로 일컬어지는 동시에, 그중에서도 드물게 유머와 풍자를 적재적소에 사용했던 작가로 알려져 있다. 또한, 당시 독일의 나치즘에 열렬히 저항했던 지식인이자 어린이의 심리와 마음을 그대로 담아낸 아동 문학가이기도 하다. 격변하는 사회 속 문제에 끊임없이 저항했던 그가 자신의 작품들을 통해 지속해서 이야기했던 주제는 인류애와 공동체, 정의, 그리고 현대 사회 속 이기주의에 대한 비판이었다. 그런 만큼 이번 ‘에밀과 탐정’에서도 아이들의 모험과 여정, 그리고 행동을 통해 이러한 가치들을 담아냈다."
최정원이 읽는 이동하의 인동,이동하 저,"[100인의 배우, 우리 문학을 읽다] 오디오북 시리즈는, 최민식 문소리 정진영 강부자 등 우리 시대를 대표하는 배우 103명이 한국 근현대문학의 주요 중단편소설 100편을 낭독한 프로젝트입니다. ≪인동≫은 1967년 신인예술상 모집에 수석 당선된 이동하의 단편소설이다. 두 남녀의 4주에 걸친 겨울여행을 좇아 현실의 무력감과 시련을 견뎌낼 수 있는 길을 찾아간다. ‘겨울’은 당시의 시대 상황을 비유하는 것으로 풀이된다."
사랑,기 드 모파상 저,주인공은 젊은 시절 사냥터에서의 기억을 떠올립니다. 사촌의 초대로 오리 사냥을 나간 주인공은 동이 틀 무렵 날아오르는 새를 향해 방아쇠를 당깁니다. 기 드 모파상의 단편소설
