titles,authors,informs
이정은이 읽는 지그몬트 모리츠의 돼지치기의 가장 더러운 셔츠,지그몬드 모리츠 저,"돼지치기의 가장 더러운 셔츠 (A kondás legszennyesebb inge) 주인공 마님은 어느 날 남편의 부탁을 받고 일꾼들을 살펴보러 들녘에 나간다. 그런데 흙 속에 반쯤 파묻힌 어린아이를 발견한다. 그런데 며칠 되지 않아, 다시 들녘을 찾은 마님은 기막히게도 아이가 저주에 걸렸다는 소식을 듣게 된다."
"우리들, 킴_환대",황은덕 저,"비정규직 시간강사와 삶에 염증을 느끼는 대학교수 간의 불안한 관계와 집착을 그린 「불안을 영혼을,」, 남성 중심으로 이뤄진 세상의 습속을 힘겹게 걸어 나가야 하는 청춘의 이야기 「환대」까지, 힘들고 지친 삶이 책 곳곳에 베여 있다. 이 두 작품에서 입양은 전혀 드러나지 않지만, 가정이 있는 남자와의 사랑이 에피소드로 제시되며 이들의 불륜이 정확하게 일부이처제처럼 작동한다는 사실은 남성지배의 사회구조, 가부장적 가족구조에서 보여주는 입양의 문제들과도 무관하지 않다. 또한 여성의 취약함과 불안은 미혼모의 서사와도 겹친다."
최희진이 읽는 사토 하루오의 스페인 개의 집,사토 하루오 저,스페인 개의 집 (西班牙犬の家) 느긋하게 산책을 하던 주인공이 꿈이라고도 현실이라고도 할 수 없는 세계로 빠져들어 간다. 환상 문학이지만 추리 소설 같은 긴장된 분위기를 띠는 것도 이 작품의 매력이다. 작가는 실제로 번잡한 도시 생활과 복잡한 인간관계를 피해 도쿄를 떠나 가나가와현 나카사토로 이사했다. 그곳에서 이 작품을 썼다. 벽촌에 떨어져 칩거하는 당시 그의 마음이 어떠했는지가 이 작품에 잘 녹아 있다.
야망검,와룡강 저,"아무것도 모른채 아버지를 죽인 원수의 집에서 18년 동안 살아온 사나이 역성걸. 고아인 자신을 키워준 은인 섭운이 바로 아버지의 원수임을 알았지만, 원수 섭운은 후환을 걱정하며 성걸의 목숨마져 노리고 있었다. 하지만 성걸에겐 한가지 아픔이 더 있었으니, 어려서부터 함께 자란 원수의 딸 송송을 사랑하게 된 것이었다. 복수를 다짐한 성걸은 송송과 이별하고, 무림 고수인 섭운과 대결하기 위해 초은신사 지만호를 스승으로 절대 무공 빙선장을 연마하는데…"
[단편] 성묘,전성태 저,"한국소설이 지닌 풍요로운 서사와 리얼리티를 계승하면서도 특유의 성실함과 간단없는 자기갱신을 거듭하면서 우리 문단을 대표하는 새얼굴로 자리매김해온 소설가 전성태가 등단 20주년을 맞아 새롭게 펴낸 소설집. 현대문학상 수상작인 「낚시하는 소녀」를 포함해 열두편의 작품이 시간의 심연을 날렵하게 포착해내며 인간의 기억에 녹아들어 있는 사실과 진실, 인지와 망각, 현실과 비현실 등을 추적한다. 「성묘」 직업군인으로 전역한 노인은 군부대 앞에서 구멍가게를 하고 있다. 몇해 전 가게 근처 고추밭 인근에 중국군과 북한군의 적군묘지가 들어선 이후 노인은 자꾸만 그 묘지에 신경이 쓰인다. 그러던 어느날 한 무장공비의 무덤 앞에 흰 국화가 놓인 것을 발견하는데……"
[단편] 실내화 한켤레,권여선 저,"소설가 권여선의 다섯번째 소설집이자 2016 동인문학상 수상작. 이해되지 않는, 그러면서도 쉽사리 잊히지 않는 지난 삶의 불가해한 장면을 잡아채는 선명하고도 서늘한 문장으로 삶의 비의를 그려낸다. 인생이 던지는 지독한 농담이 인간을 벼랑 끝까지 밀어뜨릴 때, 인간은 어떠한 방식으로 그 불행을 견뎌낼 수 있을까. 미세한 균열로도 생은 완전히 부서질 수 있다는 것을 보여주는 데 탁월한 감각을 발휘해온 권여선은 그럼에도 그 비극을 견뎌내는 자들의 숭고함을 가슴 먹먹하게 그려낸다. 「실내화 한 켤레」 시나리오 작가인 경안이 TV에 출연한 덕에 고등학교 때 같은 반이었던 혜련, 선미와 연락이 닿아 그들은 14년 만에 다시 만난다. 그 시절 자연스럽게 멀어졌던 셋은 오랜만에 만나 술을 마시다 우연히 아는 남자와 합세해 경안의 집으로 가게 된다. 그리고 다음 날 아침 비밀스럽게 감춰져 있던 진실이 밝혀진다."
이주원이 읽는 조명희의 낙동강,조명희 저,"[100인의 배우, 우리 문학을 읽다] 오디오북 시리즈는, 최민식 문소리 정진영 강부자 등 우리 시대를 대표하는 배우 103명이 한국 근현대문학의 주요 중단편소설 100편을 낭독한 프로젝트입니다. ≪낙동강≫은 조명희의 대표작으로 ≪조선지광≫ 1927년 7월호에 발표됐다. 한 사회운동가의 파란만장한 생애와 죽음을 줄기로 계급운동의 전개 양상을 큰 규모로 다룸으로써 식민지 조선의 계급운동이 나가야 할 방향을 제시한다. 자연발생적 수준에 머물던 신경향파 문학을 목적의식적인 프로 문학으로 발전시킨 작품으로 평가된다."
발가락이 닮았다,김동인 저,"1932년 1월 ""동광""에 발표된 단편소설로, 자연주의 경향의 작품이지만 강한 휴머니티가 깔려있는 작품"
이정은이 읽는 지그몬트 모리츠의 돼지치기의 가장 더러운 셔츠,지그몬드 모리츠 저,"돼지치기의 가장 더러운 셔츠 (A kondás legszennyesebb inge) 주인공 마님은 어느 날 남편의 부탁을 받고 일꾼들을 살펴보러 들녘에 나간다. 그런데 흙 속에 반쯤 파묻힌 어린아이를 발견한다. 그런데 며칠 되지 않아, 다시 들녘을 찾은 마님은 기막히게도 아이가 저주에 걸렸다는 소식을 듣게 된다."
"우리들, 킴_환대",황은덕 저,"비정규직 시간강사와 삶에 염증을 느끼는 대학교수 간의 불안한 관계와 집착을 그린 「불안을 영혼을,」, 남성 중심으로 이뤄진 세상의 습속을 힘겹게 걸어 나가야 하는 청춘의 이야기 「환대」까지, 힘들고 지친 삶이 책 곳곳에 베여 있다. 이 두 작품에서 입양은 전혀 드러나지 않지만, 가정이 있는 남자와의 사랑이 에피소드로 제시되며 이들의 불륜이 정확하게 일부이처제처럼 작동한다는 사실은 남성지배의 사회구조, 가부장적 가족구조에서 보여주는 입양의 문제들과도 무관하지 않다. 또한 여성의 취약함과 불안은 미혼모의 서사와도 겹친다."
최희진이 읽는 사토 하루오의 스페인 개의 집,사토 하루오 저,스페인 개의 집 (西班牙犬の家) 느긋하게 산책을 하던 주인공이 꿈이라고도 현실이라고도 할 수 없는 세계로 빠져들어 간다. 환상 문학이지만 추리 소설 같은 긴장된 분위기를 띠는 것도 이 작품의 매력이다. 작가는 실제로 번잡한 도시 생활과 복잡한 인간관계를 피해 도쿄를 떠나 가나가와현 나카사토로 이사했다. 그곳에서 이 작품을 썼다. 벽촌에 떨어져 칩거하는 당시 그의 마음이 어떠했는지가 이 작품에 잘 녹아 있다.
야망검,와룡강 저,"아무것도 모른채 아버지를 죽인 원수의 집에서 18년 동안 살아온 사나이 역성걸. 고아인 자신을 키워준 은인 섭운이 바로 아버지의 원수임을 알았지만, 원수 섭운은 후환을 걱정하며 성걸의 목숨마져 노리고 있었다. 하지만 성걸에겐 한가지 아픔이 더 있었으니, 어려서부터 함께 자란 원수의 딸 송송을 사랑하게 된 것이었다. 복수를 다짐한 성걸은 송송과 이별하고, 무림 고수인 섭운과 대결하기 위해 초은신사 지만호를 스승으로 절대 무공 빙선장을 연마하는데…"
